------------------------------------------------------------
Client connecting to 192.168.0.105, UDP port 5001
Sending 1000 byte datagrams, IPG target: 2.48 us (kalman adjust)
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 192.168.0.105 port 56286 connected with 192.168.0.105 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 250.0000-251.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 251.0000-252.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 252.0000-253.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 253.0000-254.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 254.0000-255.0000 sec   381 MBytes  3.19 Gbits/sec
[  1] 255.0000-256.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 256.0000-257.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 257.0000-258.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 258.0000-259.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 259.0000-260.0000 sec   382 MBytes  3.20 Gbits/sec
[  1] 260.0000-261.0000 sec   376 MBytes  3.16 Gbits/sec
[  1] 261.0000-262.0000 sec   392 MBytes  3.29 Gbits/sec
[  1] 262.0000-263.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 263.0000-264.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 264.0000-265.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 265.0000-266.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 266.0000-267.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 267.0000-268.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 268.0000-269.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 269.0000-270.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 270.0000-271.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 271.0000-272.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 272.0000-273.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 273.0000-274.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 274.0000-275.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 275.0000-276.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 276.0000-277.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 277.0000-278.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 278.0000-279.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 279.0000-280.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 280.0000-281.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 281.0000-282.0000 sec   386 MBytes  3.24 Gbits/sec
[  1] 282.0000-283.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 283.0000-284.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 284.0000-285.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 285.0000-286.0000 sec   377 MBytes  3.16 Gbits/sec
[  1] 286.0000-287.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 287.0000-288.0000 sec   380 MBytes  3.19 Gbits/sec
